land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Brasilien;;11;11;0;;11;6;;6;0;;;6;;;
Sonstiges Afrika;;3;3;0;;3;2;;2;0;;;2;;;
Großbritannien;;70;85;1;;86;43;;51;1;;;52;;;
Norwegen;;1;1;0;;1;1;;1;0;;;1;;;
Belgien;;10;11;0;;11;9;;10;0;;;10;;;
Dänemark;;0;0;0;;0;0;;0;0;;;0;;;
Neuseeland und Ozeanien;;1;1;0;;1;1;;1;0;;;1;;;
Tschech. Republik;;5;5;0;;5;4;;4;0;;;4;;;
Sonstiges Asien;;10;10;0;;10;4;;4;0;;;4;;;
Luxemburg;;14;15;0;;15;9;;10;0;;;10;;;
Russland;;1;1;0;;1;1;;1;0;;;1;;;
Italien;;18;18;0;;18;11;;11;0;;;11;;;
Ungarn;;1;1;0;;1;1;;1;0;;;1;;;
Japan;;3;3;0;;3;1;;1;0;;;1;;;
Portugal;;8;8;0;;8;4;;4;0;;;4;;;
Österreich;;22;25;0;;25;12;;13;0;;;13;;;
China, VR und Hongkong;;6;6;0;;6;3;;3;0;;;3;;;
Schweden;;5;5;0;;5;4;;4;0;;;4;;;
Frankreich;;27;31;0;;31;17;;18;0;;;18;;;
Schweiz;;19;27;0;;27;12;;17;0;;;17;;;
Niederlande;;46;48;0;;48;32;;34;0;;;34;;;
USA;;30;34;0;;34;10;;10;0;;;10;;;
Irland;;2;2;0;;2;2;;2;0;;;2;;;
Arabische Golfstaaten;;11;11;0;;11;2;;2;0;;;2;;;
Deutschland;;713;801;7;;808;468;;536;6;;;542;;;
Spanien;;6;6;0;;6;5;;5;0;;;5;;;
;;;;;;;;;;;;;;;;
Total;;1043;1169;8;;1177;664;;751;7;;;758;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
