land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Spanien;;7;8;0;;8;5;;6;0;;;6;
Schweiz;;15;19;0;;19;9;;11;0;;;11;
Italien;;2;2;0;;2;2;;2;0;;;2;
Arabische Golfstaaten;;4;7;0;;7;2;;3;0;;;3;
Deutschland;;1391;1702;21;;1723;618;;791;16;;;807;
Polen;;0;0;0;;0;0;;0;0;;;0;
Niederlande;;24;27;2;;29;22;;24;1;;;25;
USA;;17;19;0;;19;5;;6;0;;;6;
Dänemark;;1;1;0;;1;1;;1;0;;;1;
Österreich;;33;33;0;;33;11;;11;0;;;11;
Brasilien;;3;3;0;;3;0;;0;0;;;0;
Luxemburg;;47;49;0;;49;8;;9;0;;;9;
Türkei;;4;4;0;;4;1;;1;0;;;1;
Großbritannien;;45;46;1;;47;30;;31;1;;;32;
Sonstiges Asien;;5;5;0;;5;3;;3;0;;;3;
Russland;;5;5;2;;7;3;;3;1;;;4;
China, VR und Hongkong;;13;13;0;;13;5;;5;0;;;5;
Sonstiges Europa;;3;5;0;;5;2;;3;0;;;3;
Frankreich;;18;18;0;;18;8;;8;0;;;8;
Japan;;4;4;0;;4;4;;4;0;;;4;
Belgien;;3;5;0;;5;3;;5;0;;;5;
;;;;;;;;;;;;;;
Total;;1644;1975;26;;2001;742;;927;19;;;946;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
