Description;2013;2014;2015;2016;2017;2018;;
total guests in house;1871;1613;1914;1894;1885;2079;;
total guests (adults);1805;1602;1877;1878;1852;2010;;
total guests (children);66;11;37;16;33;69;;
;;;;;;;;
total rooms in house;1.950;1950;1.950;1950;1.950;1950;;
total rooms (occupied);1.571;1358;1.558;1676;1.592;1731;;
total rooms (free);379;592;392;274;358;219;;
% occupied rooms;80,56;69,64;79,90;85,95;81,64;88,77;;
;;;;;;;;
complimentary rooms;3;2;5;1;4;5;;
house use rooms;0;0;0;0;0;0;;
OOO rooms;39;35;5;38;41;6;;
OOS rooms;0;0;0;0;0;0;;
;;;;;;;;
total rooms - OOO;1911;1915;1945;1912;1909;1944;;
free rooms - OOO;340;557;387;236;317;213;;
% occupied rooms - complimentary;80,41;69,54;79,64;85,90;81,44;88,51;;
;;;;;;;;
occupied rooms - copmlimentary/house;1568;1356;1553;1675;1588;1726;;
occupied beds;51,54;44,44;52,73;52,18;51,93;57,27;;
single occupied doubles;1.130;969;1.050;1.267;1.132;1.236;;
;;;;;;;;
arrivals rooms;773;734;853;745;745;843;;
departures rooms;810;743;869;759;758;804;;
;;;;;;;;
arrivals guests;937;905;1081;880;926;1062;;
departures guests;1000;925;1103;885;909;972;;
;;;;;;;;
VIP Gäste;0;0;0;0;0;0;;
Complimentary Gäste;5;4;8;2;8;9;;
wiederkehrende Zimmer;343;305;401;314;339;355;;
Abreisen nicht bezahlt;0;0;0;0;0;0;;
Reservierungen heute;924;912;730;796;934;1.020;;
Walk Ins;5;16;8;5;2;0;;
Stornierungen für heute;152;203;198;196;155;223;;
Stornierungen heute;124;156;199;174;150;260;;
No Show Zimmer;0;0;0;0;0;0;;
Tageszimmer;2;2;6;2;2;3;;
;;;;;;;;
Bruttoumsatz Hotel;204.654,58;191.193,18;262.178,45;265.476,37;282.473,69;309.609,57;;
Nicht Hotel Umsatz;183,18;-109,31;349,18;-131,30;30,20;4,96;;
Bruttoumsatz gesamt;204.837,76;191.083,87;262.527,63;265.345,07;282.503,89;309.614,53;;
Nettoumsatz Hotel;185.452,48;173.452,04;234.911,63;238.681,85;252.629,48;276.970,52;;
Zahlungen;221.455,02;212.539,00;285.780,79;287.360,02;298.910,18;307.719,21;;
;;;;;;;;
Umsatz pro Erwachsener;113,38;119,35;139,68;141,36;152,52;154,03;;
Umsatz pro Person;109,38;118,53;136,98;140,17;149,85;148,92;;
Umsatz pro bel. Zimmer;130,27;140,79;168,28;158,40;177,43;178,86;;
Umsatz pro verfügbaren Zimmer;107,09;99,84;134,80;138,85;147,97;159,26;;
;;;;;;;;
Ø Zim. Umsatz Logis Brutto;90,98;98,64;98,17;98,55;101,47;99,80;;
Ø Zim. Umsatz Logis Brutto - Comp;91,16;98,79;98,48;98,61;101,73;100,09;;
Ø Zim. Umsatz Logis Brutto - Comp / Haus;91,16;98,79;98,48;98,61;101,73;100,09;;
Ø Zim. Umsatz Logis Netto;85,03;92,19;91,74;92,11;94,83;93,28;;
Ø Zim. Umsatz Logis Netto - Comp;85,19;92,33;92,04;92,16;95,07;93,55;;
Ø Zim. Umsatz Logis Netto - Comp / Haus;85,19;92,33;92,04;92,16;95,07;93,55;;
;;;;;;;;
Bruttoumsatz Logis;142.934,60;133.957,60;152.941,20;165.176,67;161.539,57;172.761,70;;
Nettoumsatz Logis;133.583,74;125.194,03;142.935,70;154.370,74;150.971,56;161.459,54;;
Bruttoumsatz F&B;38.948,23;35.802,40;87.027,48;90.089,45;107.555,72;114.658,72;;
Nettoumsatz F&B;32.729,63;30.086,06;73.132,34;75.705,45;90.382,96;96.351,85;;
Bruttoumsatz Minibar;895,00;795,00;1.020,10;1.044,40;878,90;901,80;;
Nettoumsatz Minibar;752,09;668,06;857,22;877,64;738,57;757,81;;
Bruttoumsatz Telefon;51,53;67,77;42,95;22,25;6,30;9,90;;
Nettoumsatz Telefon;43,30;56,95;36,09;18,70;5,29;8,32;;
Bruttoumsatz Divers;21.825,22;20.570,41;21.146,72;9.143,60;12.493,20;21.277,45;;
Nettoumsatz Divers;18.343,72;17.446,95;17.950,27;7.709,32;10.531,11;18.393,00;;
Bruttoumsatz, nicht zuge.;0,00;0,00;0,00;0,00;0,00;0,00;;
Nettoumsatz, nicht zuge.;0,00;0,00;0,00;0,00;0,00;0,00;;
;;;;;;;;
Umsatz Firma;72.141,00;70.826,50;87.672,85;75.484,50;82.635,20;75.169,99;;
Zimmer Firma;1.288;990;1.175;1376;1.197;1317;;
Umsatz Reisebüro;18.282,55;22.354,80;24.859,50;24.630,20;13.085,96;14.715,25;;
Zimmer Reisebüro;176;243;215;216;94;176;;
Umsatz Reservierungsstelle;86,00;782,70;468,00;2.452,40;0,00;115,00;;
Zimmer Reservierungsstelle;1;6;3;19;0;1;;
Umsatz Individuell;18.693,70;21.618,70;23.932,90;27.342,83;29.634,40;24.966,05;;
Zimmer Individuell;140;161;166;134;186;158;;
Umsatz Bucher;57.133,20;54.698,70;72.777,30;53.121,85;78.170,20;71.685,89;;
Zimmer Bucher;1.152;863;1.033;1.225;1.168;1.318;;
